Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Debt to equity,Price to Sales,Sales growth,EPS,Free Cash generated from EBIDTA,EVEBITDA,Price to book value,EV by FCF,Merged_data,URL
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,276.85,16.23,975.72,0.45,17.91,19.79,230.55,20.99,21.7,0.34,1.19,15.74,16.72,35.02,9.07,2.77,20.04,20MICRONS,https://www.screener.in/company/20MICRONS/consolidated/
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,88.91,1.56,92.43,2.81,24.45,982.67,108.58,10650.5,78.43,0.0,0.63,-3538.35,56.57,-4.43,1.41,1.75,-19.52,21STCENMGM,https://www.screener.in/company/21STCENMGM/consolidated/
360 ONE,542772,360ONE,Finance & Investments,1022.0,40.01,37069.2,1.61,243.74,66.53,849.34,48.23,14.47,2.75,13.09,36.32,24.04,-29.28,22.82,10.63,-32.89,360ONE,https://www.screener.in/company/360ONE/consolidated/
3B Blackbio,532067,,Healthcare,1145.5,30.63,983.14,0.22,8.79,69.36,23.0,27.0,20.95,0.0,13.26,19.86,38.13,59.48,20.26,4.41,44.15,532067.0,https://www.screener.in/company/532067/consolidated/
3C IT Solutions,544190,,Computers - Software - Medium / Small,37.5,188.14,22.58,0.0,0.75,,12.47,,9.6,1.23,0.76,-51.82,0.28,580.36,10.42,,-9.96,544190.0,https://www.screener.in/company/544190/consolidated/
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,34.2,,578.72,0.0,-99.08,-104.23,197.04,3.45,-6.65,0.29,0.71,11.63,-17.63,-166.67,-60.39,1.97,-20.87,3IINFOLTD,https://www.screener.in/company/3IINFOLTD/consolidated/
3M India,523395,3MINDIA,Diversified - Large,37980.0,79.9,42806.66,0.42,161.24,30.8,1032.72,4.69,33.04,0.01,10.9,5.18,476.05,76.7,53.98,18.05,114.22,3MINDIA,https://www.screener.in/company/3MINDIA/consolidated/
3P Land Hold.,516092,3PLAND,Finance & Investments,37.64,35.24,68.01,0.0,0.38,46.15,0.89,89.36,2.94,0.0,17.09,54.86,1.07,4.65,25.58,0.69,6779.0,3PLAND,https://www.screener.in/company/3PLAND/consolidated/
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software,1.55,31.82,5.41,0.0,-0.03,0.0,0.0,,0.87,0.23,19.32,,0.05,58.82,53.06,0.34,-82.0,531925.0,https://www.screener.in/company/531925/consolidated/
5Paisa Capital,540776,5PAISA,Finance & Investments,474.8,25.83,1481.07,0.0,20.07,37.65,102.24,20.95,12.85,0.62,3.59,21.87,18.47,-102.06,1.53,2.74,15.0,5PAISA,https://www.screener.in/company/5PAISA/consolidated/
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,384.25,8.42,1765.98,0.52,3.82,144.27,37.53,-66.37,6.7,0.0,3.74,62.76,48.29,19.39,1.99,0.53,9.56,63MOONS,https://www.screener.in/company/63MOONS/consolidated/
7NR Retail Ltd,540615,,Trading,7.23,,20.25,0.0,-0.23,-9.52,1.0,-90.38,-3.12,0.18,1.74,-75.63,-0.4,277.67,-33.39,0.71,-1.33,540615.0,https://www.screener.in/company/540615/consolidated/
7Seas Enter.,540874,,Computers - Software - Medium / Small,68.6,133.34,128.01,0.0,0.21,162.5,3.17,193.52,18.36,0.04,10.86,113.59,0.51,-748.8,77.56,12.59,-95.64,540874.0,https://www.screener.in/company/540874/consolidated/
A B B,500002,ABB,Electric Equipment,7460.75,108.08,158081.81,0.32,459.29,87.46,3080.36,27.75,30.69,0.01,14.22,23.37,68.73,59.54,73.49,26.59,258.09,ABB,https://www.screener.in/company/ABB/consolidated/
A B Infrabuild,,ABINFRA,Construction,60.1,25.53,298.96,0.0,4.41,,75.87,,31.33,0.26,1.63,49.33,2.3,-121.19,12.57,3.66,26.96,ABINFRA,https://www.screener.in/company/ABINFRA/consolidated/
